,common_name,scientific_name,Native,visit,year,month,day,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20
SWF-1347,Queen Anne's Lace,Daucus carota,-2,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1347,Yarrow,Achillea millefolium,-1,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1347,Narrow leaved goldenrod,Euthamia graminifolia,n,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1347,White sweet clover,Melilotus albus,-3,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1347,Purple loosestrife,Lythrum salicaria,-3,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1347,Heal-all,Prunella vulgaris,-1,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1227,No blooming,No blooming,,2,2018,June,7,100,100,0,0,0,0,0,0,100,0,0,0,0,0,100,0,100,0,0,0
SWF-1227,Lance-leaved plantain,Plantago lanceolata,-1,2,2018,June,7,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SWF-1227,Hop clover,Trifolium dubium,-1,2,2018,June,7,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2
SWF-1227,Bittersweet nightshade,Solanum dulcamara,-2,2,2018,June,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWF-1227,Common Dandelion,Taraxacum officinale,-2,2,2018,June,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
SWF-1227,Wormseed mustard,Erysimum cheiranthoides,-1,2,2018,June,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
SWF-1227,Wild grape,Vitis riparia,n,2,2018,June,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SWF-1227,Ox-eye daisy,Leucanthemum vulgare,n,2,2018,June,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SWF-1227,Bladder campion,Silene vulgaris,-1,2,2018,June,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
SWF-1227,Yellow rocket,Barbarea vulgaris,-1,2,2018,June,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SWF-1227,Heal-all,Prunella vulgaris,-1,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1227,Bird's-foot trefoil,Lotus corniculatus,-2,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1227,St. John's wort,Hypericum perforatum,-3,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1227,Silvery cinquefoil,Potentilla argentea,-2,2,2018,June,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
SWF-1227,Crown Vetch,Securigera varia,-3,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1227,Blueweed,Echium vulgare,-2,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1227,Hoary alyssum,Berteroa incana,-3,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1227,Canada Thistle,Cirsium arvense,-1,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1227,Cow Vetch,Vicia cracca,-1,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1227,Common Fleabane,Erigeron philadelphicus,n,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1227,Purple loosestrife,Lythrum salicaria,-3,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1227,White sweet clover,Melilotus albus,-3,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1227,Marsh bedstraw,Galium palustre,n,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1227,Canada goldenrod,Solidago canadensis,n,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1227,Common St. John's Wort,Hypericum perforatum,-3,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1227,Queen Anne's Lace,Daucus carota,-2,2,2018,June,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1127,No blooming,No blooming,,2,2018,June,8,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0
SWF-1127,Rough bedstraw,Gallium asprellum,-1,2,2018,June,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5
SWF-1127,Red osier dogwood,Cornus sericea,n,2,2018,June,8,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWF-1127,Tall buttercup,Ranunculus acris,-2,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1127,Aslike clover,Trifolium hybridum,-1,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1127,Canada Anenome,Anemone canadensis,n,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1127,Cow vetch,Vicia cracca,-1,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1127,Lady's thumbs,Persicaria maculosa,-1,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1127,Spiraea alba,Spiraea alba,n,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1127,Purple loosestrife,Lythrum salicaria,-3,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1127,Yarrow,Achillea millefolium,-1,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1127,Queen Anne's Lace,Daucus carota,-2,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1134,None blooming,,,2,2018,June,8,100,100,99,81,97,99,69,99,100,100,100,99,100,100,100,90,100,100,100,100
SWF-1134,Cow Vetch,Vicia cracca,-1,2,2018,June,8,0,0,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWF-1134,Bladder campion,Silene vulgaris,-1,2,2018,June,8,0,0,0,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SWF-1134,Ox-eye daisy,Leucanthemum vulgare,n,2,2018,June,8,0,0,0,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
SWF-1134,Bird's-foot trefoil,Lotus corniculatus,-2,2,2018,June,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWF-1134,Tall buttercup,Ranunculus acris,-2,2,2018,June,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0
SWF-1134,Wild grape,Vitis riparia,n,2,2018,June,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWF-1134,Blue weed,Echium vulgare,-2,2,2018,June,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWF-1134,Rough bedstraw,Galium asprellum,n,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1134,Annual fleabane,Erigeron annuus,n,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1134,Staghorn sumac,Rhus typhina,n,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1134,Queen Anne's Lace,Daucus carota,-2,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1134,Purple Loosestrife,Lythrum salicaria,-3,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1134,Canada Thistle,Cirsium arvense,-1,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1134,Narrow leaved goldenrod,Euthamia graminifolia,n,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1134,Water plantain,Alisma plantago aquatica,n,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1133,None blooming,,,2,2018,June,8,,,,100,100,,,100,,,,,,,100,,,100,100,
SWF-1133,Common Pepergrass,Lepidium virginicum,n,2,2018,June,8,10,,,,,,50,,,,,,,,,,30,,,
SWF-1133,Bittersweet nightshade,Solanum dulcamara,-2,2,2018,June,8,,10,,,,,,,,10,,,,,,,,,,
SWF-1133,Rough bedstraw,Galium asprellum,n,2,2018,June,8,,,50,,,,,,80,,,,,,,,,,,20
SWF-1133,Fragrant bedstraw,Galium triflorum,n,2,2018,June,8,,,,,,10,,,,,,,,,,,,,,
SWF-1133,Red osier dogwood,Cornus stolonifera,n,2,2018,June,8,,,,,,,,,,,100,100,100,,,,,,,
SWF-1133,Wild Mustard,Sinapis arvensis,-1,2,2018,June,8,,,,,,,,,,,,,,30,,20,,,,
SWF-1133,Wormseed mustard,Erysimum cheiranthoides,-1,2,2018,June,8,,,,,,,,,,,,,,,,1,,,,
SWF-1133,Purple loosestrife,Lythrum salicaria,-3,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1133,Blue vervain,Verbena hastata,n,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1133,Canada thistle,Cirsium arvense,-1,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1133,Crown vetch,Securigera varia,-3,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1133,Allegheny monkeyflower,Mimulus regens,n,2,2018,June,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1314,No blooming,,,2,2018,June,12,100,100,100,100,100,,,,100,,,,,100,100,,100,,,100
SWF-1314,Hop clover,Trifolium aureum,-1,2,2018,June,12,,,,,,3,,3,,1,1,,,,,,,1,,
SWF-1314,White clover,Trifolium repens,-1,2,2018,June,12,,,,,,3,1,,,,,,,,,,,,3,
SWF-1314,Lesser Stitchwort,Stellaria graminea,-2,2,2018,June,12,,,,,,5,1,,,,,,,,,,,,,
SWF-1314,Silvery cinquefoil,Potentilla argentea,-2,2,2018,June,12,,,,,,,1,1,,,,,,,,,,,,
SWF-1314,Dandelion,Taraxacum officinale,-2,2,2018,June,12,,,,,,,,1,,,,,,,,,,,1,
SWF-1314,Bladder campion,Silene vulgaris,-1,2,2018,June,12,,,,,,,,,,,5,1,,,,,,,,
SWF-1314,Fragrant white water lily,Nymphaea odorata,n,2,2018,June,12,,,,,,,,,,,,,5,,,,,,,
SWF-1314,PATH,PATH,,2,2018,June,12,,,,,,,,,,,,,,,,,,,,
SWF-1314,Lance-leaved plantain,Plantago lanceolata,-1,2,2018,June,12,,,,,,,,,,,,,,,,,,10,,
SWF-1314,Ox-eye daisy,Leucanthemum vulgare,n,2,2018,June,12,,,,,,,,,,,,,,,,,,1,,
SWF-1314,Red clover,Trifolium pratense,-2,2,2018,June,12,,,,,,,,,,,,,,,,,,5,,
SWF-1314,Bird's-foot trefoil,Lotus corniculatus,-2,2,2018,June,12,,,,,,,,,,,,,,,,,,1,1,
SWF-1314,Heal-all,Prunella vulgaris,-1,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1314,White sweet clover,Melilotus albus,-3,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1314,Common plantain,Plantago major,-1,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1314,Queen Anne's Lace,Daucus carota,-2,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1314,Annual fleabane,Erigeron annuus,n,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1314,Deptford pink,Dianthus armeria,-1,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1314,Hop clover,Trifolium dubium,-1,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1306,No blooming,,,2,2018,June,12,100,,,100,100,,,,100,,100,100,100,100,,,100,,,
SWF-1306,Cow Vetch,Vicia cracca,-1,2,2018,June,12,,3,1,,,,,1,,1,,,,,,,,,,1
SWF-1306,Marsh bedstraw,Galium palustre,n,2,2018,June,12,,,,,,75,50,75,,,,,,,,,,,25,15
SWF-1306,Lesser Stitchwort,Stellaria graminea,-2,2,2018,June,12,,,,,,1,,,,,,,,,,,,,,
SWF-1306,Wild red raspberry,Rubus idaeus,n,2,2018,June,12,,,,,,,,,,,,,,,75,90,,,,
SWF-1306,Ox-eye daisy,Leucanthemum vulgare,n,2,2018,June,12,,,,,,,,,,,,,,,,,,1,,
SWF-1306,Wild mustard,Sinapis arvensis,-1,2,2018,June,12,,,,,,,,,,,,,,,,,,1,,1
SWF-1306,Wild parsnip,Pastinaca sativa,-3,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1306,Bird's-foot trefoil,Lotus corniculatus,-2,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1306,Canada thistle,Cirsium arvense,-1,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1306,Hop clover,Trifolium dubium,-1,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1306,St. John's wort,Hypericum perforatum,-3,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1306,White clover,Trifolium repens,-1,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1306,Purple loosestrife,Lythrum salicaria,-3,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1306,Field bindweed,Convolvulus arvensis,-1,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1306,Bittersweet nightshade,Solanum dulcamara,-2,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1306,Perennial sow thistle,Sonchus arvensis ssp. arvensis,-1,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1306,Mugwort,Artemisia vulgaris,-1,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1306,Canada goldenrod,Solidago canadensis,n,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1306,Red clover,Trifolium pratense,-2,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1306,Narrow leaved goldenrod,Euthamia graminifolia,n,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1306,Queen Anne's lace,Daucus carota,-2,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1306,Hoary alyssum,Berteroa incana,-3,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1204,No blooming,,,2,2018,June,12,100,,,,100,,,100,,100,,,100,,,,100,,,100
SWF-1204,Cow Vetch,Vicia cracca,-1,2,2018,June,12,,1,5,,,2,5,,,,1,1,,1,1,2,,1,3,
SWF-1204,Ground ivy,Glechoma hederacea,-2,2,2018,June,12,,,10,1,,,,,,,,,,,,,,,,
SWF-1204,Fragrant bedstraw,Galium triflorum,n,2,2018,June,12,,,3,,,,,,2,,,,,,,,,1,,
SWF-1204,Red osier dogwood,Cornus stolonifera,n,2,2018,June,12,,,,,,1,,,,,,,,,,,,,,
SWF-1204,Wild grape,Vitis riparia,n,2,2018,June,12,,,,,,,,,2,,,,,,,,,,,
SWF-1204,Tall buttercup,Ranunculus acris,-2,2,2018,June,12,,,,,,,,,,,,,,,,,,1,,
SWF-1204,Ox-eye daisy,Leucanthemum vulgare,n,2,2018,June,12,,,,,,,,,,,,,,,,,,,2,
SWF-1204,Field bindweed,Convolvulus arvensis,-1,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1204,Milkweed,Asclepias syriaca,n,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1204,Bird's-foot trefoil,Lotus corniculatus,-2,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1204,White sweet clover,Melilotus albus,-3,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1204,white clover,Trifolium repens,-1,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1204,Purple loosestrife,Lythrum salicaria,-3,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1204,Narrow leaved goldenrod,Euthamia graminifolia,n,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1204,Perennial sow thistle,Sonchus arvensis ssp. arvensis,-1,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1204,Canada goldenrod,Solidago canadensis,n,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1204,Marsh hedge nettle,Stachys palustris,-1,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1204,Canada thistle,Cirsium arvense,-1,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1204,Aster lanceolata,Symphyotrichum lanceolatum,n,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1204,Yarrow,Achillea millefolium,-1,2,2018,June,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWF-1310,No blooming,,,2,2018,June,15,100,,100,,,,,,100,,,,100,,100,,100,,,
SWF-1310,Tall buttercup,Ranunculus acris,-2,2,2018,June,15,,2,,,,,,,,,,,,,,,,,,
SWF-1310,Common fleabane,Erigeron philadelphicus,n,2,2018,June,15,,1,,,,3,,,,,,,,,,1,,,,
SWF-1310,Cow vetch,Vicia cracca,-1,2,2018,June,15,,1,,,,,,,,,,1,,,,,,1,,
SWF-1310,Bladder campion,Silene vulgaris,-1,2,2018,June,15,,,,5,,,5,2,,,,,,,,,,,,
SWF-1310,Yelow iris,Iris pseudacorus,-2,2,2018,June,15,,,,,25,,,,,,,,,,,,,,,
SWF-1310,Fragrant bedstraw,Galium triflorum,n,2,2018,June,15,,,,,1,25,50,,,,,,,,,,,,,
SWF-1310,Ox-eye daisy,Leucanthemum vulgare,n,2,2018,June,15,,,,,,1,,,,2,,,,,,,,,,
SWF-1310,Ground ivy,Glechoma hederacea,-2,2,2018,June,15,,,,,,1,,,,,,,,,,,,,,
SWF-1310,Wormseed mustard,Erysimum cheiranthoides,-1,2,2018,June,15,,,,,,,1,,,,2,,,,,,,,,
